branch,step,event,F,contracts_after,vm,required_topup,actual_topup,loan_draw,unfunded_gap,margin,free,loan,restricted,cumulative_vm,total_cash_less_debt,action,physical_payment,loan_repaid,interest_paid,inventory_quantity,inventory_mark_value,inventory_is_not_cash
three,0,建仓转入保证金,5.75,3,0,0,9000,0,0,9000,7000,0,90000,0,106000,opened,,,,,,
three,1,先记变动现金,5.45,3,-4499.999999999997,4499.999999999997,0,0,0,4500.000000000003,7000,0,90000,-4499.999999999997,101500,marked,,,,,,
three,1,足额补款,5.45,3,0,4499.999999999997,4499.999999999997,0,0,9000,2500.0000000000027,0,90000,-4499.999999999997,101500,funded,,,,,,
three,2,先记变动现金,5.1,3,-5250.000000000008,5250.000000000008,0,0,0,3749.999999999992,2500.0000000000027,0,90000,-9750.000000000005,96250,marked,,,,,,
three,2,资金不足后平仓并退回保证金,5.1,0,0,5250.000000000008,0,0,2750.0000000000055,0,6249.9999999999945,0,90000,-9750.000000000005,96250,closed,,,,,,
three,3,已无期货仓位,6.25,0,0,0,0,0,0,0,6249.9999999999945,0,90000,-9750.000000000005,96250,no_position,,,,,,
three,4,采购、释放保证金并偿债,,,,,,,,0,3250,0,0,,,,93000,0,0,15000,93000,true
two,0,建仓转入保证金,5.75,2,0,0,6000,0,0,6000,10000,0,90000,0,106000,opened,,,,,,
two,1,先记变动现金,5.45,2,-2999.999999999998,2999.999999999998,0,0,0,3000.000000000002,10000,0,90000,-2999.999999999998,103000,marked,,,,,,
two,1,足额补款,5.45,2,0,2999.999999999998,2999.999999999998,0,0,6000,7000.000000000002,0,90000,-2999.999999999998,103000,funded,,,,,,
two,2,先记变动现金,5.1,2,-3500.0000000000055,3500.0000000000055,0,0,0,2499.9999999999945,7000.000000000002,0,90000,-6500.000000000004,99500,marked,,,,,,
two,2,足额补款,5.1,2,0,3500.0000000000055,3500.0000000000055,0,0,6000,3499.9999999999964,0,90000,-6500.000000000004,99500,funded,,,,,,
two,3,先记变动现金,6.25,2,11500.000000000004,0,0,0,0,17500.000000000004,3499.9999999999964,0,90000,5000,111000,marked,,,,,,
two,4,采购、释放保证金并偿债,,,,,,,,0,18000,0,0,,,,93000,0,0,15000,93000,true
loan,0,建仓转入保证金,5.75,3,0,0,9000,0,0,9000,7000,0,90000,0,106000,opened,,,,,,
loan,1,先记变动现金,5.45,3,-4499.999999999997,4499.999999999997,0,0,0,4500.000000000003,7000,0,90000,-4499.999999999997,101500,marked,,,,,,
loan,1,足额补款,5.45,3,0,4499.999999999997,4499.999999999997,0,0,9000,2500.0000000000027,0,90000,-4499.999999999997,101500,funded,,,,,,
loan,2,先记变动现金,5.1,3,-5250.000000000008,5250.000000000008,0,0,0,3749.999999999992,2500.0000000000027,0,90000,-9750.000000000005,96250,marked,,,,,,
loan,2,足额补款,5.1,3,0,5250.000000000008,5250.000000000008,2750.0000000000055,0,9000,0,2750.0000000000055,90000,-9750.000000000005,96250,funded,,,,,,
loan,3,先记变动现金,6.25,3,17250.000000000004,0,0,0,0,26250.000000000004,0,2750.0000000000055,90000,7499.999999999998,113500,marked,,,,,,
loan,4,采购、释放保证金并偿债,,,,,,,,0,20492.46575342465,0,0,,,,93000,2750.0000000000055,7.534246575342481,15000,93000,true
credit2000,0,建仓转入保证金,5.75,3,0,0,9000,0,0,9000,7000,0,90000,0,106000,opened,,,,,,
credit2000,1,先记变动现金,5.45,3,-4499.999999999997,4499.999999999997,0,0,0,4500.000000000003,7000,0,90000,-4499.999999999997,101500,marked,,,,,,
credit2000,1,足额补款,5.45,3,0,4499.999999999997,4499.999999999997,0,0,9000,2500.0000000000027,0,90000,-4499.999999999997,101500,funded,,,,,,
credit2000,2,先记变动现金,5.1,3,-5250.000000000008,5250.000000000008,0,0,0,3749.999999999992,2500.0000000000027,0,90000,-9750.000000000005,96250,marked,,,,,,
credit2000,2,资金不足后平仓并退回保证金,5.1,0,0,5250.000000000008,0,0,750.0000000000055,0,6249.9999999999945,0,90000,-9750.000000000005,96250,closed,,,,,,
credit2000,3,已无期货仓位,6.25,0,0,0,0,0,0,0,6249.9999999999945,0,90000,-9750.000000000005,96250,no_position,,,,,,
credit2000,4,采购、释放保证金并偿债,,,,,,,,0,3250,0,0,,,,93000,0,0,15000,93000,true
none,0,建仓转入保证金,5.75,0,0,0,0,0,0,0,16000,0,90000,0,106000,opened,,,,,,
none,1,已无期货仓位,5.45,0,0,0,0,0,0,0,16000,0,90000,0,106000,no_position,,,,,,
none,2,已无期货仓位,5.1,0,0,0,0,0,0,0,16000,0,90000,0,106000,no_position,,,,,,
none,3,已无期货仓位,6.25,0,0,0,0,0,0,0,16000,0,90000,0,106000,no_position,,,,,,
none,4,采购、释放保证金并偿债,,,,,,,,0,13000,0,0,,,,93000,0,0,15000,93000,true
