month,BusEq,Mkt-RF,SMB,HML,RF
201601,-0.0772,-0.0574,-0.034,0.0208,0.0001
201602,0.0145,-0.0006,0.0073,-0.0060999999999999995,0.0002
201603,0.0883,0.0695,0.0075,0.0123,0.0002
201604,-0.0542,0.0092,0.0077,0.0322,0.0001
201605,0.0553,0.0178,-0.0018,-0.016200000000000003,0.0001
201606,-0.0137,-0.0003,0.006,-0.0149,0.0002
201607,0.0798,0.0394,0.024700000000000003,-0.0127,0.0002
201608,0.0233,0.0049,0.011899999999999999,0.0317,0.0002
201609,0.0399,0.0027,0.0209,-0.012199999999999999,0.0002
201610,-0.0224,-0.020099999999999996,-0.0441,0.040999999999999995,0.0002
201611,0.0241,0.048600000000000004,0.055999999999999994,0.0832,0.0001
201612,0.0207,0.0181,0.0013,0.035,0.0003
201701,0.0328,0.0194,-0.0116,-0.0274,0.0004
201702,0.067,0.0355,-0.0213,-0.0152,0.0004
201703,0.0237,0.0017000000000000001,0.0113,-0.0333,0.0003
201704,0.0085,0.0108,0.0068000000000000005,-0.0208,0.0005
201705,0.0453,0.010700000000000001,-0.025099999999999997,-0.0382,0.0006
201706,-0.0337,0.0079,0.0222,0.0151,0.0006
201707,0.0305,0.018799999999999997,-0.014499999999999999,-0.0023,0.0007000000000000001
201708,0.0492,0.0018,-0.0167,-0.0213,0.0009
201709,0.0107,0.024900000000000002,0.044500000000000005,0.0315,0.0009
201710,0.0712,0.0226,-0.019299999999999998,0.0013,0.0009
201711,0.0252,0.031200000000000002,-0.006,-0.0009,0.0008
201712,-0.0083,0.0106,-0.0132,0.0005,0.0009
201801,0.0551,0.0558,-0.0316,-0.0132,0.0011
201802,0.0198,-0.0364,0.0027,-0.011000000000000001,0.0011
201803,-0.0271,-0.0235,0.0405,-0.0021,0.0012
201804,-0.0205,0.0027,0.0109,0.0053,0.0014000000000000002
201805,0.0779,0.026600000000000002,0.0524,-0.031400000000000004,0.0014000000000000002
201806,-0.0201,0.0049,0.0111,-0.0233,0.0014000000000000002
201807,0.0276,0.032,-0.0222,0.004699999999999999,0.0016
201808,0.0959,0.0345,0.011699999999999999,-0.0393,0.0016
201809,-0.0018,0.0006,-0.0229,-0.0168,0.0015
201810,-0.0818,-0.0765,-0.0467,0.034300000000000004,0.0019
201811,-0.047,0.0171,-0.0072,0.0034000000000000002,0.0018
201812,-0.0901,-0.0955,-0.0233,-0.018799999999999997,0.0019
201901,0.0746,0.0837,0.0273,-0.004,0.0021
201902,0.0738,0.0342,0.020499999999999997,-0.026600000000000002,0.0018
201903,0.0435,0.011000000000000001,-0.030600000000000002,-0.0416,0.0019
201904,0.053,0.0397,-0.0169,0.0213,0.0021
201905,-0.1162,-0.0692,-0.012199999999999999,-0.0236,0.0021
201906,0.1116,0.0699,0.001,-0.0072,0.0018
201907,0.0326,0.0123,-0.0196,0.005,0.0019
201908,-0.0311,-0.0255,-0.0239,-0.04769999999999999,0.0016
201909,0.0423,0.0141,-0.0097,0.0676,0.0018
201910,0.0509,0.0207,0.0027,-0.0192,0.0015
201911,0.0502,0.0387,0.0072,-0.02,0.0012
201912,0.0632,0.0277,0.0076,0.0173,0.0014000000000000002
202001,0.0097,-0.0011,-0.031,-0.0622,0.0013
202002,-0.0902,-0.0815,0.0108,-0.0382,0.0012
