unit,P,L,x,y,V,H,fees,costs,net,fee_required,active,at_boundary,tick_validated
Y,0.2,5.454545454545454,2.2727272727272725,0,0.45454545454545453,1.2727272727272727,0.05,0.01,0.4945454545454545,0.8281818181818181,false,false,false
Y,0.22,5.454545454545454,2.2727272727272725,0,0.49999999999999994,1.2909090909090908,0.05,0.01,0.5399999999999999,0.8009090909090908,false,false,false
Y,0.24000000000000002,5.454545454545454,2.2727272727272725,0,0.5454545454545454,1.309090909090909,0.05,0.01,0.5854545454545454,0.7736363636363637,false,false,false
Y,0.26,5.454545454545454,2.2727272727272725,0,0.5909090909090908,1.3272727272727272,0.05,0.01,0.6309090909090909,0.7463636363636363,false,false,false
Y,0.28,5.454545454545454,2.2727272727272725,0,0.6363636363636364,1.3454545454545455,0.05,0.01,0.6763636363636364,0.7190909090909091,false,false,false
Y,0.30000000000000004,5.454545454545454,2.2727272727272725,0,0.6818181818181819,1.3636363636363635,0.05,0.01,0.7218181818181819,0.6918181818181817,false,false,false
Y,0.32,5.454545454545454,2.2727272727272725,0,0.7272727272727272,1.3818181818181818,0.05,0.01,0.7672727272727272,0.6645454545454547,false,false,false
Y,0.34,5.454545454545454,2.2727272727272725,0,0.7727272727272727,1.4,0.05,0.01,0.8127272727272727,0.6372727272727272,false,false,false
Y,0.36,5.454545454545454,2.2727272727272725,0,0.818181818181818,1.418181818181818,0.05,0.01,0.858181818181818,0.61,false,false,false
Y,0.38,5.454545454545454,2.2727272727272725,0,0.8636363636363635,1.4363636363636363,0.05,0.01,0.9036363636363636,0.5827272727272728,false,false,false
Y,0.4,5.454545454545454,2.2727272727272725,0,0.9090909090909091,1.4545454545454546,0.05,0.01,0.9490909090909091,0.5554545454545455,false,false,false
Y,0.42000000000000004,5.454545454545454,2.2727272727272725,0,0.9545454545454546,1.4727272727272727,0.05,0.01,0.9945454545454546,0.5281818181818181,false,false,false
Y,0.44,5.454545454545454,2.2727272727272725,0,0.9999999999999999,1.4909090909090907,0.05,0.01,1.0399999999999998,0.5009090909090909,false,false,false
Y,0.46,5.454545454545454,2.2727272727272725,0,1.0454545454545454,1.509090909090909,0.05,0.01,1.0854545454545454,0.47363636363636363,false,false,false
Y,0.48000000000000004,5.454545454545454,2.2727272727272725,0,1.0909090909090908,1.5272727272727273,0.05,0.01,1.1309090909090909,0.4463636363636365,false,false,false
Y,0.5,5.454545454545454,2.2727272727272725,0,1.1363636363636362,1.5454545454545454,0.05,0.01,1.1763636363636363,0.4190909090909092,false,false,false
Y,0.52,5.454545454545454,2.2727272727272725,0,1.1818181818181817,1.5636363636363635,0.05,0.01,1.2218181818181817,0.39181818181818184,false,false,false
Y,0.54,5.454545454545454,2.2727272727272725,0,1.2272727272727273,1.5818181818181818,0.05,0.01,1.2672727272727273,0.3645454545454545,false,false,false
Y,0.56,5.454545454545454,2.2727272727272725,0,1.2727272727272727,1.6,0.05,0.01,1.3127272727272727,0.3372727272727274,false,false,false
Y,0.5800000000000001,5.454545454545454,2.2727272727272725,0,1.3181818181818181,1.6181818181818182,0.05,0.01,1.3581818181818182,0.31000000000000005,false,false,false
Y,0.6000000000000001,5.454545454545454,2.2727272727272725,0,1.3636363636363638,1.6363636363636362,0.05,0.01,1.4036363636363638,0.2827272727272725,false,false,false
Y,0.62,5.454545454545454,2.2727272727272725,0,1.409090909090909,1.6545454545454543,0.05,0.01,1.449090909090909,0.2554545454545454,false,false,false
Y,0.64,5.454545454545454,2.2727272727272725,0,1.4545454545454544,1.6727272727272728,0.05,0.01,1.4945454545454544,0.22818181818181849,false,true,false
Y,0.66,5.454545454545454,2.1686267806908766,0.06765731161961451,1.498950986875593,1.690909090909091,0.05,0.01,1.538950986875593,0.2019581040334979,true,false,false
Y,0.6799999999999999,5.454545454545454,2.0691534100818085,0.13429704612835627,1.541321364983986,1.709090909090909,0.05,0.01,1.5813213649839861,0.17776954410692292,true,false,false
Y,0.7,5.454545454545454,1.9739742327330554,0.19996378109495735,1.581745744008096,1.727272727272727,0.05,0.01,1.621745744008096,0.1555269832646311,true,false,false
Y,0.72,5.454545454545454,1.8827889198777046,0.2646989314028562,1.6203069537148036,1.7454545454545451,0.05,0.01,1.6603069537148036,0.13514759173974156,true,false,false
Y,0.74,5.454545454545454,1.79532574966287,0.32854105475052325,1.657082109501047,1.7636363636363637,0.05,0.01,1.697082109501047,0.1165542541353166,true,false,false
Y,0.76,5.454545454545454,1.7113381964698668,0.39152612022618877,1.6921431495432877,1.7818181818181817,0.05,0.01,1.7321431495432877,0.09967503227489403,true,false,false
Y,0.78,5.454545454545454,1.6306020044250678,0.4536877452697344,1.7255573087212872,1.7999999999999998,0.05,0.01,1.7655573087212872,0.08444269127871261,true,false,false
Y,0.8,5.454545454545454,1.5529126659085173,0.5150574054540862,1.7573875381809,1.8181818181818181,0.05,0.01,1.7973875381809001,0.07079428000091802,true,false,false
Y,0.8200000000000001,5.454545454545454,1.4780832404461748,0.5756646208022274,1.7876928779680907,1.8363636363636364,0.05,0.01,1.8276928779680908,0.05867075839554569,true,false,false
Y,0.8400000000000001,5.454545454545454,1.4059424609816096,0.6355371217700075,1.8165287889945598,1.8545454545454545,0.05,0.01,1.8565287889945599,0.04801666555089467,true,false,false
Y,0.8600000000000001,5.454545454545454,1.3363330838239127,0.6947009975431113,1.8439474496316763,1.8727272727272728,0.05,0.01,1.8839474496316764,0.03877982309559646,true,false,false
Y,0.8800000000000001,5.454545454545454,1.2691104460621028,0.7531808288982866,1.8699980214329373,1.8909090909090909,0.05,0.01,1.9099980214329373,0.030911069476153623,true,false,false
Y,0.9000000000000001,5.454545454545454,1.2041412003061431,0.8109998075482572,1.8947268878237862,1.9090909090909092,0.05,0.01,1.9347268878237862,0.024364021267122997,true,false,false
