path_index,step,P,x,lp_y,rebalance_y,LP,R,H,LVR,trade
0,0,1,1,1,1,2,2,2,0,0
0,1,1.4,0.8451542547285166,1.1832159566199232,1.2167840433800767,2.3664319132398464,2.4,2.4,0.03356808676015355,-0.15484574527148343
0,2,1.8,0.7453559924999299,1.3416407864998738,1.3964209153915328,2.6832815729997477,2.7380617018914064,2.8,0.05478012889165873,-0.09979826222858668
1,0,1,1,1,1,2,2,2,0,0
1,1,1.4,0.8451542547285166,1.1832159566199232,1.2167840433800767,2.3664319132398464,2.4,2.4,0.03356808676015355,-0.15484574527148343
1,2,1,1,1,1.0619382981085934,2,2.0619382981085934,2,0.061938298108593415,0.15484574527148343
2,0,1,1,1,1,2,2,2,0,0
2,1,0.6,1.2909944487358056,0.7745966692414834,0.8254033307585167,1.5491933384829668,1.6,1.6,0.05080666151703328,0.2909944487358056
2,2,1,1,1,1.1163977794943223,2,2.1163977794943225,2,0.1163977794943225,-0.2909944487358056
3,0,1,1,1,1,2,2,2,0,0
3,1,0.6,1.2909944487358056,0.7745966692414834,0.8254033307585167,1.5491933384829668,1.6,1.6,0.05080666151703328,0.2909944487358056
3,2,0.2,2.23606797749979,0.4472135954999579,0.6363886250057198,0.8944271909999159,1.0836022205056777,1.2,0.18917502950576182,0.9450735287639842
