branch,event,step,F,vm,margin,free,loan,external_own,required,actual_topup,gap,spot_sale,interest_paid
forced_exit,建仓,0,51500,0,12000,3955,30000,0,0,0,0,,
forced_exit,第一压力点补款后,1,54500,-3000,12000,955,30000,0,3000,3000,0,,
forced_exit,第二压力点，要求提高后补款前,2,56000,-1500,10500,955,30000,0,3500,0,2545,,
forced_exit,失败后按教学价平两腿并偿债,2,56000,0,0,34342.74657534246,0,0,0,0,2545,53000,65.75342465753425
survive_with_extra_2545,建仓,0,51500,0,12000,3955,30000,0,0,0,0,,
survive_with_extra_2545,第一压力点补款后,1,54500,-3000,12000,955,30000,0,3000,3000,0,,
survive_with_extra_2545,第二压力点，要求提高后补款前,2,56000,-1500,10500,955,30000,0,3500,0,0,,
survive_with_extra_2545,及时追加自有资本并补足,2,56000,0,14000,0,30000,2545,3500,3500,0,,
survive_with_extra_2545,最终结算前,3,52000,4000,18000,0,30000,0,0,0,0,,
survive_with_extra_2545,现货出售、释放保证金并偿债,3,52000,0,0,39706.76472602739,0,0,0,0,0,51950,197.26027397260273
