branch,step,event,cash,payable,NAV,external_flow
gross,0,初始投入,100,0,100,100
gross,1,第一期毛回报后,110,0,110,0
gross,2,外部投入100,210,0,210,100
gross,3,第二期毛回报−10%,189,0,189,0
baseline,0,初始投入,100,0,100,100
baseline,1,第一期毛回报后,110,0,110,0
baseline,2,入金前确认并支付管理费,108,0,108,0
baseline,3,外部投入100,208,0,208,100
baseline,4,第二期毛回报−10%,187.20000000000002,0,187.20000000000002,0
baseline,5,第二期管理费2,185.2,0,185.2,0
deferred,0,初始投入,100,0,100,100
deferred,1,第一期毛回报后,110,0,110,0
deferred,2,入金前应计管理费，未付款,110,2,108,0
deferred,3,外部投入100,210,2,208,100
deferred,4,支付已应计费用（不再减NAV）,208,0,208,0
deferred,5,第二期毛回报−10%,187.20000000000002,0,187.20000000000002,0
deferred,6,第二期管理费2,185.2,0,185.2,0
after,0,初始投入,100,0,100,100
after,1,第一期毛回报后,110,0,110,0
after,2,外部投入100,210,0,210,100
after,3,入金后才确认并支付费用,208,0,208,0
after,4,第二期毛回报−10%,187.20000000000002,0,187.20000000000002,0
after,5,第二期管理费2,185.2,0,185.2,0
