month,BusEq_percent,return_decimal,loss_decimal,source_line
199001,-0.94,-0.0094,0.0094,775
199002,3.53,0.0353,-0.0353,776
199003,4.10,0.0410,-0.0410,777
199004,-1.46,-0.0146,0.0146,778
199005,11.64,0.1164,-0.1164,779
199006,-2.00,-0.0200,0.0200,780
199007,-6.52,-0.0652,0.0652,781
199008,-12.22,-0.1222,0.1222,782
199009,-6.16,-0.0616,0.0616,783
199010,-3.82,-0.0382,0.0382,784
199011,10.47,0.1047,-0.1047,785
199012,3.93,0.0393,-0.0393,786
199101,14.36,0.1436,-0.1436,787
199102,5.98,0.0598,-0.0598,788
199103,-0.61,-0.0061,0.0061,789
199104,-3.01,-0.0301,0.0301,790
199105,3.47,0.0347,-0.0347,791
199106,-9.19,-0.0919,0.0919,792
199107,4.15,0.0415,-0.0415,793
199108,1.37,0.0137,-0.0137,794
199109,-2.13,-0.0213,0.0213,795
199110,0.13,0.0013,-0.0013,796
199111,-5.01,-0.0501,0.0501,797
199112,7.05,0.0705,-0.0705,798
199201,7.35,0.0735,-0.0735,799
199202,4.45,0.0445,-0.0445,800
199203,-4.94,-0.0494,0.0494,801
199204,0.20,0.0020,-0.0020,802
199205,-0.75,-0.0075,0.0075,803
199206,-2.71,-0.0271,0.0271,804
199207,2.67,0.0267,-0.0267,805
199208,-5.32,-0.0532,0.0532,806
199209,2.38,0.0238,-0.0238,807
199210,-0.03,-0.0003,0.0003,808
199211,6.77,0.0677,-0.0677,809
199212,0.32,0.0032,-0.0032,810
199301,5.10,0.0510,-0.0510,811
199302,0.75,0.0075,-0.0075,812
199303,1.51,0.0151,-0.0151,813
199304,-2.69,-0.0269,0.0269,814
199305,9.23,0.0923,-0.0923,815
199306,-0.48,-0.0048,0.0048,816
199307,-2.81,-0.0281,0.0281,817
199308,7.83,0.0783,-0.0783,818
199309,-0.05,-0.0005,0.0005,819
199310,1.19,0.0119,-0.0119,820
199311,-0.07,-0.0007,0.0007,821
199312,4.15,0.0415,-0.0415,822
199401,4.55,0.0455,-0.0455,823
199402,1.60,0.0160,-0.0160,824
199403,-3.67,-0.0367,0.0367,825
199404,-2.43,-0.0243,0.0243,826
199405,0.63,0.0063,-0.0063,827
199406,-5.03,-0.0503,0.0503,828
199407,5.09,0.0509,-0.0509,829
199408,9.22,0.0922,-0.0922,830
199409,-0.99,-0.0099,0.0099,831
199410,6.94,0.0694,-0.0694,832
199411,-2.28,-0.0228,0.0228,833
199412,2.75,0.0275,-0.0275,834
199501,-0.59,-0.0059,0.0059,835
199502,6.65,0.0665,-0.0665,836
199503,4.32,0.0432,-0.0432,837
199504,9.28,0.0928,-0.0928,838
199505,3.34,0.0334,-0.0334,839
199506,10.15,0.1015,-0.1015,840
199507,8.73,0.0873,-0.0873,841
199508,-0.16,-0.0016,0.0016,842
199509,1.29,0.0129,-0.0129,843
199510,0.03,0.0003,-0.0003,844
199511,-1.41,-0.0141,0.0141,845
199512,-4.58,-0.0458,0.0458,846
199601,2.11,0.0211,-0.0211,847
199602,6.93,0.0693,-0.0693,848
199603,-4.55,-0.0455,0.0455,849
199604,10.57,0.1057,-0.1057,850
199605,4.32,0.0432,-0.0432,851
199606,-6.32,-0.0632,0.0632,852
199607,-7.54,-0.0754,0.0754,853
199608,5.10,0.0510,-0.0510,854
199609,10.66,0.1066,-0.1066,855
199610,-1.23,-0.0123,0.0123,856
199611,14.01,0.1401,-0.1401,857
199612,-2.42,-0.0242,0.0242,858
199701,10.36,0.1036,-0.1036,859
199702,-8.16,-0.0816,0.0816,860
199703,-5.22,-0.0522,0.0522,861
199704,6.02,0.0602,-0.0602,862
199705,10.21,0.1021,-0.1021,863
199706,0.93,0.0093,-0.0093,864
199707,18.90,0.1890,-0.1890,865
199708,-0.79,-0.0079,0.0079,866
199709,3.89,0.0389,-0.0389,867
199710,-10.68,-0.1068,0.1068,868
199711,0.64,0.0064,-0.0064,869
199712,-4.76,-0.0476,0.0476,870
199801,5.08,0.0508,-0.0508,871
199802,9.65,0.0965,-0.0965,872
199803,-2.18,-0.0218,0.0218,873
199804,7.61,0.0761,-0.0761,874
199805,-7.14,-0.0714,0.0714,875
199806,4.64,0.0464,-0.0464,876
199807,3.85,0.0385,-0.0385,877
199808,-17.49,-0.1749,0.1749,878
199809,13.18,0.1318,-0.1318,879
199810,10.06,0.1006,-0.1006,880
199811,10.34,0.1034,-0.1034,881
199812,14.09,0.1409,-0.1409,882
199901,13.29,0.1329,-0.1329,883
199902,-12.31,-0.1231,0.1231,884
199903,5.09,0.0509,-0.0509,885
199904,6.19,0.0619,-0.0619,886
199905,0.03,0.0003,-0.0003,887
199906,12.86,0.1286,-0.1286,888
199907,2.41,0.0241,-0.0241,889
