previous_trade_id,trade_id,gap_microseconds,gap_seconds
482524746,482524747,11066030,11.06603
482524747,482524748,209604,0.209604
482524748,482524749,3164540,3.16454
482524749,482524750,2305505,2.305505
482524750,482524751,33274120,33.27412
482524751,482524752,13667471,13.667471
482524752,482524753,0,0.0
482524753,482524754,0,0.0
482524754,482524755,0,0.0
482524755,482524756,0,0.0
482524756,482524757,0,0.0
482524757,482524758,0,0.0
482524758,482524759,0,0.0
482524759,482524760,0,0.0
482524760,482524761,176,0.000176
482524761,482524762,146,0.000146
482524762,482524763,0,0.0
482524763,482524764,0,0.0
482524764,482524765,663,0.000663
482524765,482524766,0,0.0
482524766,482524767,0,0.0
482524767,482524768,0,0.0
482524768,482524769,0,0.0
482524769,482524770,1424325,1.424325
482524770,482524771,15625371,15.625371
482524771,482524772,5188359,5.188359
482524772,482524773,14182065,14.182065
482524773,482524774,0,0.0
482524774,482524775,3080941,3.080941
482524775,482524776,0,0.0
482524776,482524777,4253092,4.253092
482524777,482524778,6277471,6.277471
482524778,482524779,449402,0.449402
482524779,482524780,4708911,4.708911
482524780,482524781,42742328,42.742328
482524781,482524782,2017,0.002017
482524782,482524783,22,2.2e-05
482524783,482524784,0,0.0
482524784,482524785,0,0.0
482524785,482524786,584,0.000584
482524786,482524787,0,0.0
482524787,482524788,0,0.0
482524788,482524789,0,0.0
482524789,482524790,27701686,27.701686
482524790,482524791,7740246,7.740246
482524791,482524792,4561324,4.561324
482524792,482524793,8564545,8.564545
482524793,482524794,25947212,25.947212
482524794,482524795,2604980,2.60498
482524795,482524796,7697293,7.697293
482524796,482524797,6531854,6.531854
482524797,482524798,0,0.0
482524798,482524799,3134184,3.134184
482524799,482524800,12488694,12.488694
482524800,482524801,2987176,2.987176
482524801,482524802,0,0.0
482524802,482524803,0,0.0
482524803,482524804,0,0.0
482524804,482524805,0,0.0
482524805,482524806,7736571,7.736571
482524806,482524807,0,0.0
482524807,482524808,0,0.0
482524808,482524809,537914,0.537914
482524809,482524810,0,0.0
482524810,482524811,0,0.0
482524811,482524812,4063616,4.063616
482524812,482524813,0,0.0
482524813,482524814,0,0.0
482524814,482524815,16794122,16.794122
482524815,482524816,15005321,15.005321
482524816,482524817,3083451,3.083451
482524817,482524818,0,0.0
482524818,482524819,0,0.0
482524819,482524820,854916,0.854916
482524820,482524821,4708436,4.708436
482524821,482524822,15502147,15.502147
482524822,482524823,0,0.0
482524823,482524824,0,0.0
482524824,482524825,16620839,16.620839
482524825,482524826,0,0.0
482524826,482524827,15878454,15.878454
482524827,482524828,0,0.0
482524828,482524829,0,0.0
482524829,482524830,0,0.0
482524830,482524831,1853724,1.853724
482524831,482524832,1345779,1.345779
482524832,482524833,4106189,4.106189
482524833,482524834,5038825,5.038825
482524834,482524835,295512,0.295512
482524835,482524836,2021497,2.021497
482524836,482524837,14693406,14.693406
482524837,482524838,2200130,2.20013
482524838,482524839,1044562,1.044562
482524839,482524840,0,0.0
482524840,482524841,9217382,9.217382
482524841,482524842,0,0.0
482524842,482524843,0,0.0
482524843,482524844,0,0.0
482524844,482524845,0,0.0
482524845,482524846,0,0.0
482524846,482524847,0,0.0
482524847,482524848,11926194,11.926194
482524848,482524849,0,0.0
482524849,482524850,0,0.0
482524850,482524851,0,0.0
482524851,482524852,2051656,2.051656
482524852,482524853,0,0.0
482524853,482524854,0,0.0
482524854,482524855,21938,0.021938
482524855,482524856,71250,0.07125
482524856,482524857,13315552,13.315552
482524857,482524858,0,0.0
482524858,482524859,0,0.0
482524859,482524860,0,0.0
482524860,482524861,11577076,11.577076
482524861,482524862,12852936,12.852936
482524862,482524863,0,0.0
482524863,482524864,0,0.0
482524864,482524865,1594063,1.594063
482524865,482524866,2182436,2.182436
482524866,482524867,1244659,1.244659
482524867,482524868,5812159,5.812159
482524868,482524869,0,0.0
482524869,482524870,0,0.0
482524870,482524871,30997045,30.997045
482524871,482524872,0,0.0
482524872,482524873,9520221,9.520221
482524873,482524874,211153,0.211153
482524874,482524875,11499366,11.499366
482524875,482524876,429755,0.429755
482524876,482524877,0,0.0
482524877,482524878,0,0.0
482524878,482524879,194602,0.194602
482524879,482524880,569085,0.569085
482524880,482524881,0,0.0
482524881,482524882,0,0.0
482524882,482524883,0,0.0
482524883,482524884,6758332,6.758332
482524884,482524885,5152829,5.152829
482524885,482524886,0,0.0
482524886,482524887,0,0.0
482524887,482524888,10818305,10.818305
482524888,482524889,10985990,10.98599
482524889,482524890,0,0.0
482524890,482524891,26053130,26.05313
482524891,482524892,0,0.0
482524892,482524893,0,0.0
482524893,482524894,0,0.0
482524894,482524895,0,0.0
482524895,482524896,0,0.0
482524896,482524897,0,0.0
482524897,482524898,15378752,15.378752
482524898,482524899,0,0.0
482524899,482524900,0,0.0
482524900,482524901,0,0.0
482524901,482524902,0,0.0
482524902,482524903,0,0.0
482524903,482524904,0,0.0
482524904,482524905,0,0.0
482524905,482524906,0,0.0
482524906,482524907,0,0.0
482524907,482524908,1198771,1.198771
482524908,482524909,14627144,14.627144
482524909,482524910,18489039,18.489039
482524910,482524911,0,0.0
482524911,482524912,0,0.0
482524912,482524913,11757662,11.757662
482524913,482524914,9062551,9.062551
482524914,482524915,18751097,18.751097
482524915,482524916,969481,0.969481
482524916,482524917,0,0.0
