scenario,strategy,pnl,ending_nav,cash,initial_margin,maintenance_margin,margin_scan,peak_transfer,securities_initial,securities_maintenance,securities_scan,futures_initial,futures_maintenance,min_total_cash,cash_after_futures_reserve
market_down,A,-19429.40975952149,180570.59024047852,44496.002197265625,68037.29402160645,34018.64701080322,15935.164329528809,0.0,68037.29402160645,34018.64701080322,15935.164329528809,0.0,0.0,44496.002197265625,44496.002197265625
market_down,B,-17027.879699707035,182972.12030029297,61680.50262451172,60645.808837890625,30322.904418945312,13717.718774414061,0.0,60645.808837890625,30322.904418945312,13717.718774414061,0.0,0.0,61680.50262451172,61680.50262451172
market_down,C,-7735.7847595214935,192264.21524047852,56189.627197265625,76664.21402160644,41861.307010803226,23777.82432952881,0.0,68037.29402160645,34018.64701080322,15935.164329528809,8626.92,7842.66,44488.502197265625,47562.70719726563
market_down,D,-15206.416679872396,184793.5833201276,43458.002197265625,68037.29402160645,24882.847450256348,11523.899791990405,0.0,68037.29402160645,24882.847450256348,11523.899791990405,0.0,0.0,43458.002197265625,43458.002197265625
market_down,E,-7410.666679872399,192589.3333201276,51253.752197265625,73788.57402160644,30111.287450256346,16752.339791990406,0.0,68037.29402160645,24882.847450256348,11523.899791990405,5751.28,5228.44,43453.002197265625,45502.472197265626
market_up,A,19930.179748535153,219930.17974853516,44496.002197265625,87717.08877563477,43858.54438781738,20844.430783081054,0.0,87717.08877563477,43858.54438781738,20844.430783081054,0.0,0.0,44496.002197265625,44496.002197265625
market_up,B,17518.649688720696,217518.6496887207,61680.50262451172,77919.07353210449,38959.536766052246,17905.026210021973,0.0,77919.07353210449,38959.536766052246,17905.026210021973,0.0,0.0,61680.50262451172,61680.50262451172
market_up,C,8221.554748535142,208221.55474853516,32787.37719726561,96344.00877563476,51701.204387817386,28687.090783081054,5328.045000000011,87717.08877563477,43858.54438781738,20844.430783081054,8626.92,7842.66,32787.37719726561,24160.457197265612
market_up,D,18896.501108067885,218896.5011080679,43458.002197265625,87717.08877563477,40823.14277648926,20848.748704443493,0.0,87717.08877563477,40823.14277648926,20848.748704443493,0.0,0.0,43458.002197265625,43458.002197265625
market_up,E,11090.75110806788,211090.7511080679,35652.25219726562,93468.36877563476,46051.58277648926,26077.18870444349,3552.030000000007,87717.08877563477,40823.14277648926,20848.748704443493,5751.28,5228.44,35652.25219726562,29900.97219726562
company_down,A,-7593.2102355956995,192406.7897644043,44496.002197265625,73955.39378356934,36977.69689178467,17213.25827178955,0.0,73955.39378356934,36977.69689178467,17213.25827178955,0.0,0.0,44496.002197265625,44496.002197265625
company_down,B,-3300.8351287841765,196699.16487121582,61680.50262451172,67509.33112335205,33754.665561676025,15279.439473724366,0.0,67509.33112335205,33754.665561676025,15279.439473724366,0.0,0.0,61680.50262451172,61680.50262451172
company_down,C,-7600.7102355956995,192399.2897644043,44488.502197265625,82582.31378356933,44820.35689178467,25055.91827178955,0.0,73955.39378356934,36977.69689178467,17213.25827178955,8626.92,7842.66,44488.502197265625,35861.58219726563
company_down,D,-7923.037824057633,192076.96217594238,43458.002197265625,73955.39378356934,28613.695426940918,14785.588886452624,0.0,73955.39378356934,28613.695426940918,14785.588886452624,0.0,0.0,43458.002197265625,43458.002197265625
company_down,E,-7928.037824057633,192071.96217594238,43453.002197265625,79706.67378356933,33842.13542694092,20014.028886452623,0.0,73955.39378356934,28613.695426940918,14785.588886452624,5751.28,5228.44,43453.002197265625,37701.722197265626
rise_fall,A,-9965.089874267585,190034.91012573242,44496.002197265625,72769.4539642334,36384.7269821167,17106.14431915283,0.0,72769.4539642334,36384.7269821167,17106.14431915283,0.0,0.0,44496.002197265625,44496.002197265625
rise_fall,B,-8766.824844360355,191233.17515563965,61680.50262451172,64776.336265563965,32388.168132781982,14708.209009552003,0.0,64776.336265563965,32388.168132781982,14708.209009552003,0.0,0.0,61680.50262451172,61680.50262451172
rise_fall,C,-4122.02737426758,195877.97262573242,50339.064697265625,81396.3739642334,44227.3869821167,24948.80431915283,5328.045000000011,72769.4539642334,36384.7269821167,17106.14431915283,8626.92,7842.66,32787.37719726561,41712.14469726563
rise_fall,D,-8360.237922550725,191639.76207744927,43458.002197265625,72769.4539642334,26360.827445983887,13344.94656383844,0.0,72769.4539642334,26360.827445983887,13344.94656383844,0.0,0.0,43458.002197265625,43458.002197265625
rise_fall,E,-4464.862922550721,195535.13707744927,47353.377197265625,78520.7339642334,31589.267445983885,18573.38656383844,3552.030000000007,72769.4539642334,26360.827445983887,13344.94656383844,5751.28,5228.44,35652.25219726562,41602.097197265626
fall_rise,A,-9965.089874267585,190034.91012573242,44496.002197265625,72769.4539642334,36384.7269821167,17106.14431915283,0.0,72769.4539642334,36384.7269821167,17106.14431915283,0.0,0.0,44496.002197265625,44496.002197265625
fall_rise,B,-8766.824844360355,191233.17515563965,61680.50262451172,64776.336265563965,32388.168132781982,14708.209009552003,0.0,64776.336265563965,32388.168132781982,14708.209009552003,0.0,0.0,61680.50262451172,61680.50262451172
fall_rise,C,-4122.02737426758,195877.97262573242,50339.064697265625,81396.3739642334,44227.3869821167,24948.80431915283,0.0,72769.4539642334,36384.7269821167,17106.14431915283,8626.92,7842.66,44488.502197265625,41712.14469726563
fall_rise,D,-8360.237922550725,191639.76207744927,43458.002197265625,72769.4539642334,26360.827445983887,13344.94656383844,0.0,72769.4539642334,26360.827445983887,13344.94656383844,0.0,0.0,43458.002197265625,43458.002197265625
fall_rise,E,-4464.862922550721,195535.13707744927,47353.37719726563,78520.7339642334,31589.267445983885,18573.38656383844,0.0,72769.4539642334,26360.827445983887,13344.94656383844,5751.28,5228.44,43453.002197265625,41602.09719726563
stress,A,-49825.44937133789,150174.5506286621,44496.002197265625,52839.27421569824,26419.63710784912,12121.762367248535,0.0,52839.27421569824,26419.63710784912,12121.762367248535,0.0,0.0,44496.002197265625,44496.002197265625
stress,B,-43814.12422180176,156185.87577819824,61680.50262451172,47252.68657684326,23626.34328842163,10445.786075592041,0.0,47252.68657684326,23626.34328842163,10445.786075592041,0.0,0.0,61680.50262451172,61680.50262451172
stress,C,-20580.13687133789,179419.8631286621,73741.31469726562,65779.65421569825,38183.62710784912,23885.752367248533,0.0,52839.27421569824,26419.63710784912,12121.762367248535,12940.380000000001,11763.99,44488.502197265625,60800.93469726562
