date,VOO,AMZN,GOOGL,RF
2023-09-20,388.9691772,135.2899933,132.4793549,0.0002
2023-09-21,382.5944824,129.3300018,129.2104645,0.0002
2023-09-22,381.6714783,129.1199951,129.0222778,0.0002
2023-09-25,383.2578735,131.2700043,129.8741608,0.0002
2023-09-26,377.6332397,125.9800034,127.3581009,0.0002
2023-09-27,377.7197266,125.9800034,129.3095398,0.0002
2023-09-28,379.9232483,125.9800034,131.062851,0.0002
2023-09-29,379.0160217,127.1200027,129.6264954,0.0002
2023-10-02,378.98703,129.4600067,132.9053192,0.0002
2023-10-03,373.8910217,124.7200012,131.1817169,0.0002
2023-10-04,376.6416931,127,133.9652405,0.0002
2023-10-05,376.3232117,125.9599991,133.796814,0.0002
2023-10-06,380.8111267,127.9599991,136.2831573,0.0002
2023-10-09,383.3495483,128.2599945,137.1152496,0.0002
2023-10-10,385.328064,129.4799957,136.7586517,0.0002
2023-10-11,386.959198,131.8300018,139.225174,0.0002
2023-10-12,384.6331787,132.3300018,137.66008,0.0002
2023-10-13,382.6063843,129.7899933,136.0652466,0.0002
2023-10-16,386.6117249,132.5500031,137.7888489,0.0002
2023-10-17,386.6213379,131.4700012,138.4029846,0.0002
2023-10-18,381.4480896,128.1300049,136.6595764,0.0002
2023-10-19,378.2148743,128.3999939,136.4515839,0.0002
2023-10-20,373.5049438,125.1699982,134.3218231,0.0002
2023-10-23,372.8486633,126.5599976,135.2133484,0.0002
2023-10-24,375.6379395,128.5599976,137.5015564,0.0002
2023-10-25,370.3392334,121.3899994,124.4260025,0.0002
2023-10-26,365.7933655,119.5699997,121.127388,0.0002
2023-10-27,364.1719055,127.7399979,121.018425,0.0002
2023-10-30,368.5537109,132.7100067,123.2868423,0.0002
2023-10-31,370.7832031,133.0899963,122.9104309,0.0002
2023-11-01,374.8657227,137,125.2580719,0.0002
2023-11-02,381.9886169,138.0700073,126.2882767,0.0002
2023-11-03,385.5211182,138.6000061,127.88311,0.0002
2023-11-06,386.2641907,139.7400055,129.0222778,0.0002
2023-11-07,387.3548889,142.7100067,129.7354736,0.0002
2023-11-08,387.6734314,142.0800018,130.59729,0.0002
2023-11-09,384.7489929,140.6000061,129.0123444,0.0002
2023-11-10,390.7522278,143.5599976,131.3401947,0.0002
2023-11-13,390.3565674,142.5899963,130.8449097,0.0002
2023-11-14,397.8557434,145.8000031,132.3604736,0.0002
2023-11-15,398.7244263,143.1999969,133.351059,0.0002
2023-11-16,399.2841797,142.8300018,135.6392822,0.0002
2023-11-17,399.8729858,145.1799927,134.0345612,0.0002
2023-11-20,402.8841858,146.1300049,134.9657135,0.0002
2023-11-21,401.8321838,143.8999939,135.6789246,0.0002
